epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,71.423,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.68139,1.232,1.38512,2.0478e-05,2.0478e-05,2.0478e-05
24,74.2276,1.12425,2.21394,1.54038,0.74589,0.65,0.85514,0.6192,1.68139,1.232,1.38512,2.11379e-05,2.11379e-05,2.11379e-05
25,77.0915,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,79.9379,1.15282,1.85952,1.45066,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,82.8375,0.91843,1.67099,1.39784,0.70524,0.6685,0.85545,0.61336,1.70264,1.30263,1.39971,2.2976e-05,2.2976e-05,2.2976e-05
28,85.7352,0.80106,1.24172,1.14049,0.70524,0.6685,0.85545,0.61336,1.70264,1.30263,1.39971,2.35417e-05,2.35417e-05,2.35417e-05
29,88.841,0.99737,1.52716,1.27177,0.70067,0.67248,0.85551,0.61082,1.67139,1.30984,1.37933,2.40837e-05,2.40837e-05,2.40837e-05
30,91.7625,1.26561,2.34977,1.59811,0.70067,0.67248,0.85551,0.61082,1.67139,1.30984,1.37933,2.46022e-05,2.46022e-05,2.46022e-05
31,94.7132,0.97959,1.43339,1.29407,0.69188,0.66667,0.85204,0.60885,1.68174,1.34657,1.38519,2.50971e-05,2.50971e-05,2.50971e-05
32,97.602,0.81024,1.26022,1.21402,0.69188,0.66667,0.85204,0.60885,1.68174,1.34657,1.38519,2.55685e-05,2.55685e-05,2.55685e-05
33,100.711,0.78165,1.31853,1.34265,0.67238,0.68914,0.85241,0.60751,1.66724,1.37792,1.38127,2.60163e-05,2.60163e-05,2.60163e-05
34,103.682,1.05737,1.2516,1.31047,0.67238,0.68914,0.85241,0.60751,1.66724,1.37792,1.38127,2.64405e-05,2.64405e-05,2.64405e-05
35,106.701,0.88716,2.16521,1.30328,0.66428,0.7,0.85262,0.59109,1.68215,1.41237,1.38937,2.68412e-05,2.68412e-05,2.68412e-05
36,109.56,0.96218,1.47733,1.20111,0.66428,0.7,0.85262,0.59109,1.68215,1.41237,1.38937,2.72183e-05,2.72183e-05,2.72183e-05
37,112.436,0.78396,1.1146,1.17306,0.64698,0.7,0.8524,0.5836,1.65039,1.4478,1.37154,2.75718e-05,2.75718e-05,2.75718e-05
38,115.206,0.45788,0.70339,0.96922,0.64698,0.7,0.8524,0.5836,1.65039,1.4478,1.37154,2.79018e-05,2.79018e-05,2.79018e-05
39,118.071,0.64685,0.93532,1.0205,0.67388,0.69073,0.85257,0.56179,1.62596,1.47943,1.3662,2.82082e-05,2.82082e-05,2.82082e-05
40,120.899,0.80203,0.83737,1.16673,0.67388,0.69073,0.85257,0.56179,1.62596,1.47943,1.3662,2.84911e-05,2.84911e-05,2.84911e-05
41,123.761,0.75765,0.92574,1.06114,0.68205,0.66551,0.76929,0.48791,1.59607,1.48969,1.35809,2.87504e-05,2.87504e-05,2.87504e-05
42,126.545,0.88003,1.88283,1.2773,0.68205,0.66551,0.76929,0.48791,1.59607,1.48969,1.35809,2.89861e-05,2.89861e-05,2.89861e-05
43,129.528,0.84655,1.22147,1.22837,0.67828,0.65,0.76238,0.47306,1.62277,1.52911,1.38594,2.91983e-05,2.91983e-05,2.91983e-05
44,132.406,1.07497,0.98523,1.4513,0.67828,0.65,0.76238,0.47306,1.62277,1.52911,1.38594,2.93869e-05,2.93869e-05,2.93869e-05
45,135.315,0.61284,0.92502,0.99461,0.69173,0.65,0.76251,0.47229,1.61118,1.54559,1.38244,2.9552e-05,2.9552e-05,2.9552e-05
46,138.255,0.81888,0.9971,1.26848,0.69173,0.65,0.76251,0.47229,1.61118,1.54559,1.38244,2.96935e-05,2.96935e-05,2.96935e-05
47,141.274,0.8852,1.46209,1.36107,0.73609,0.65,0.7323,0.43907,1.62386,1.60182,1.3885,2.98114e-05,2.98114e-05,2.98114e-05
48,144.108,0.78689,1.63244,1.172,0.73609,0.65,0.7323,0.43907,1.62386,1.60182,1.3885,2.99058e-05,2.99058e-05,2.99058e-05
49,147.027,0.67312,0.72239,1.24557,0.68326,0.65151,0.70529,0.41424,1.62528,1.62175,1.38953,2.99766e-05,2.99766e-05,2.99766e-05
50,149.855,0.80277,0.81115,1.29448,0.68326,0.65151,0.70529,0.41424,1.62528,1.62175,1.38953,3.00238e-05,3.00238e-05,3.00238e-05
51,152.739,0.85909,0.83735,1.15605,0.65652,0.67662,0.69629,0.40609,1.59381,1.6342,1.38252,3.00475e-05,3.00475e-05,3.00475e-05
52,155.744,0.97432,0.96779,1.34781,0.65652,0.67662,0.69629,0.40609,1.59381,1.6342,1.38252,3.00476e-05,3.00476e-05,3.00476e-05
53,158.581,0.64637,0.70011,1.17845,0.65652,0.67662,0.69629,0.40609,1.59381,1.6342,1.38252,3.00242e-05,3.00242e-05,3.00242e-05
54,161.543,0.78506,0.90186,1.23276,0.69056,0.67146,0.69636,0.4082,1.57899,1.67503,1.38304,2.99772e-05,2.99772e-05,2.99772e-05
55,164.313,0.80042,0.952,1.1211,0.69056,0.67146,0.69636,0.4082,1.57899,1.67503,1.38304,2.99066e-05,2.99066e-05,2.99066e-05
56,167.184,1.09858,1.44532,1.5875,0.69056,0.67146,0.69636,0.4082,1.57899,1.67503,1.38304,2.98125e-05,2.98125e-05,2.98125e-05
57,170.116,0.94346,1.50051,1.37401,0.72331,0.50202,0.69284,0.40375,1.5866,1.70664,1.39286,2.96948e-05,2.96948e-05,2.96948e-05
58,172.922,0.8647,1.45461,1.26652,0.72331,0.50202,0.69284,0.40375,1.5866,1.70664,1.39286,2.95535e-05,2.95535e-05,2.95535e-05
59,175.753,0.78121,0.82735,1.15363,0.72331,0.50202,0.69284,0.40375,1.5866,1.70664,1.39286,2.93887e-05,2.93887e-05,2.93887e-05
60,178.685,0.99688,0.77734,1.54581,0.8556,0.48119,0.67795,0.37421,1.61193,1.77388,1.40958,2.92003e-05,2.92003e-05,2.92003e-05
61,181.57,0.63481,0.68085,1.06328,0.8556,0.48119,0.67795,0.37421,1.61193,1.77388,1.40958,2.89884e-05,2.89884e-05,2.89884e-05
62,184.426,0.70049,0.89376,1.04554,0.8556,0.48119,0.67795,0.37421,1.61193,1.77388,1.40958,2.87529e-05,2.87529e-05,2.87529e-05
63,187.328,0.76907,0.8233,1.15358,0.85528,0.47856,0.67726,0.37372,1.64241,1.85321,1.42669,2.84938e-05,2.84938e-05,2.84938e-05
64,190.11,0.62619,0.65291,1.06695,0.85528,0.47856,0.67726,0.37372,1.64241,1.85321,1.42669,2.82112e-05,2.82112e-05,2.82112e-05
65,192.939,0.6611,0.68231,1.21624,0.85528,0.47856,0.67726,0.37372,1.64241,1.85321,1.42669,2.7905e-05,2.7905e-05,2.7905e-05
66,195.83,0.68436,0.91555,1.08119,0.85193,0.47748,0.67714,0.37589,1.70649,1.91105,1.44799,2.75753e-05,2.75753e-05,2.75753e-05
