rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/loss,train/clip_range
-13.923470497131348,204,49152,716.1904761904761,239,1,,,,,,,,,,,
-6.3968377113342285,415,98304,333.76,236,2,0.384027099609375,-0.00010696720904282605,1.1713557243347168,0.0009166171428571428,-3.156873105838895,0.05317967,0.00988470596615419,320,-0.43146228790283203,-0.10210851579904556,0.2
-10.391258239746094,577,147456,534.52,255,3,0.34232177734375,-0.008773073138581822,1.1960498094558716,0.0008332342857142858,-3.2015082901964584,0.04558298,0.013877872909749083,330,0.27557647228240967,-0.1129012331366539,0.2
-7.441436290740967,740,196608,388.65,265,4,0.32238972981770836,-0.011583462921407772,1.2191569805145264,0.0007498514285714285,-3.239508034288883,0.051424813,0.01551290573309719,340,0.3129197359085083,-0.11694058030843735,0.2
-6.88386344909668,904,245760,355.0,271,5,0.302960205078125,-0.014027283224277199,1.2302404642105103,0.0006664685714285715,-3.2531280101587376,0.076759785,0.029214983460648606,350,0.3332250714302063,-0.10547386854887009,0.2
-5.345518112182617,1069,294912,283.85,275,6,0.27984619140625,-0.015083547816175269,1.2494542598724365,0.0005830857142857145,-3.283725868165493,0.11778882,0.03197216775442939,360,0.3886992335319519,-0.12068944424390793,0.2
-6.168044567108154,1233,344064,343.66,278,7,0.27156168619791665,-0.017640914862810556,1.2475312948226929,0.000499702857142857,-3.290900889908274,0.47363135,0.0437920375567046,370,0.3603971600532532,-0.1280183494091034,0.2
-5.971630096435547,1454,393216,325.0,270,8,0.2205322265625,-0.01917309237299681,1.2456728219985962,0.00041631999999999997,-3.28375941850245,0.024844147,0.04549279149020246,380,0.3152877688407898,-0.10593841224908829,0.2
-2.929793357849121,1623,442368,180.86,272,9,0.19666341145833333,-0.018830231016909237,1.2456176280975342,0.00033293714285714295,-3.283498799800873,0.021236897,0.04755564718701256,390,0.34899044036865234,-0.08384891599416733,0.2
-4.74308967590332,1789,491520,264.85,274,10,0.17154744466145833,-0.02088231467884422,1.2384159564971924,0.0002495542857142857,-3.274551035836339,0.018646272,0.08707238936331123,400,0.34687167406082153,-0.0796419233083725,0.2
-3.1782326698303223,1956,540672,174.43,276,11,0.13451944986979167,-0.019142767708641865,1.2307374477386475,0.00016617142857142868,-3.263483524819215,0.014033728,0.06339078822541827,410,0.36536794900894165,-0.08475597202777863,0.2
-3.687988042831421,2152,589824,196.93,274,12,0.08535970052083333,-0.016696119000698673,1.2261227369308472,8.278857142857143e-05,-3.2518650786330303,0.0087789865,0.09648760683873357,420,0.3562653064727783,-0.07274612039327621,0.2
-1.7549560070037842,2323,638976,105.62,275,13,0.055562337239583336,-0.01275134007349455,1.2233951091766357,5e-05,-3.244833007330696,0.0066299983,0.10087660291270974,430,0.4272015690803528,-0.04667885601520538,0.2
-1.8856478929519653,2506,688128,125.29,274,14,0.055499267578125,-0.013562758492965562,1.2203248739242554,5e-05,-3.2402539854248364,0.0067234617,0.1277941403988128,440,0.43611985445022583,-0.037648603320121765,0.2
-1.6392384767532349,2688,737280,88.92,274,15,0.05763956705729167,-0.013720680912229,1.2233189344406128,5e-05,-3.2420099382599195,0.0066074817,0.10596869897368985,450,0.4804117679595947,-0.07125192880630493,0.2
-1.3475264310836792,2889,786432,84.41,272,16,0.05694376627604167,-0.014167136478984805,1.2220127582550049,5e-05,-3.2408533322314423,0.0068215136,0.13094727725644287,460,0.41713660955429077,-0.041850149631500244,0.2
-1.008813500404358,3070,835584,69.34,272,17,0.056410725911458334,-0.013892357834871897,1.221233606338501,5e-05,-3.239608425274491,0.006597468,0.14039660052318748,470,0.4084765315055847,-0.0422058179974556,0.2
